time,chunk_id,stt_latency_ms,tt_latency_ms,tts_latency_ms,total_latency_ms,transcription,translation
2025-06-14 21:16:23,319 - 15,378.74,436.94,3126.15,35655.92, jeg har kendt mange, I've known many
2025-06-14 21:16:27,796 - 25,269.64,726.27,4475.46,38089.77, fisk i mit liv men jeg har kun elsket, fish in my life but I have only loved
2025-06-14 21:16:28,885 - 35,109.72,693.05,1088.29,37147.04, har kun set, have only seen
2025-06-14 21:16:33,412 - 48,239.64,580.69,4526.81,39018.31, første var mere som en videnskabelig affære, first was more like a scientific affair
2025-06-14 21:16:35,308 - 58,258.16,601.27,1895.96,38868.52, var en smuk fisk med, was a beautiful fish with
2025-06-14 21:16:37,798 - 68,71.63,590.44,2489.47,39319.78, smagfulde konsistens og kødfuld, tasteful consistency and fleshy
2025-06-14 21:16:39,492 - 79,76.43,600.10,1694.51,38763.64, kød fuldhed en best, meat fullness a best
2025-06-14 21:16:41,319 - 89,94.83,604.86,1825.85,38519.54, celler på menyen hvilken, cells on the meny which
2025-06-14 21:16:42,709 - 99,115.93,552.94,1389.78,37863.09, fisk endnu bedre, fish even better
2025-06-14 21:16:44,111 - 109,80.44,476.19,1401.78,37229.27, var det at den var opdrættet, it was farmed
2025-06-14 21:16:46,093 - 119,90.79,576.92,1981.74,37168.43, efter de højeste standarder for, to the highest standards for
2025-06-14 21:16:48,967 - 130,105.31,640.06,2874.18,37803.52, bæredygtighed så man kunne have god, sustainability so that you could have good
2025-06-14 21:16:50,639 - 141,226.44,579.34,1671.76,37226.97, samvittighed ved at sælge den, conscience by selling it
2025-06-14 21:16:53,118 - 152,224.11,569.38,2478.62,37465.47, havde et forhold til dennes skønhed, had a relationship with its beauty
2025-06-14 21:16:55,708 - 163,92.01,654.19,2589.06,37808.86, denne skønhed i flere måneder indtil en, this beauty for several months until a
2025-06-14 21:16:57,471 - 173,71.24,687.42,1762.56,37541.83, dag direktøren for virksomheden, day the director of the establishment;
2025-06-14 21:16:58,943 - 183,100.28,604.91,1472.24,36969.91, ringede og sport og, called and sports and
2025-06-14 21:17:01,294 - 194,266.36,644.55,2351.15,37080.36, jeg vil tale ved et arrangement om, I will talk at an event about
2025-06-14 21:17:02,919 - 205,126.82,567.44,1624.73,36463.86, virksomhedens bæredygtighed, company sustainability
2025-06-14 21:17:04,546 - 218,263.06,514.85,1626.78,35445.42, absolut sager, absolute cases;
2025-06-14 21:17:06,658 - 229,279.41,502.24,2111.28,35311.76, her var et firma der forsøgte, here was a company that tried
2025-06-14 21:17:08,144 - 239,149.41,654.97,1485.80,34755.41, de forsøgte at løse det der er, they tried to solve what is
2025-06-14 21:17:10,523 - 249,128.44,658.73,2379.05,35103.06, blevet et ufatteligt problem for vores, become an incredible problem for our
2025-06-14 21:17:12,044 - 261,262.31,698.12,1520.78,34188.54, kokke hvordan holder, chefs how to keep
2025-06-14 21:17:13,683 - 272,123.32,652.51,1638.08,33589.87, vi fisk på vores minyer, we fish on our minyer
2025-06-14 21:17:15,278 - 283,263.37,608.39,1594.58,32944.87, i de sidste 50, in the last 50
