time,chunk_id,stt_latency_ms,tt_latency_ms,tts_latency_ms,total_latency_ms,transcription,translation
2025-06-14 23:01:43,475 - 22,421.53,623.29,8403.75,41069.85, alle taler om lykke i disse dage, Everyone talks about happiness these days
2025-06-14 23:01:46,380 - 40,306.81,820.15,2904.15,40300.23, jeg fik nogen til at tælle antallet af bøger med, I got someone to count the number of books with
2025-06-14 23:01:52,070 - 63,303.56,923.48,5689.84,41290.40, lykke i titlen der er udgivet i de sidste år og de, happiness in the title published in the last years and the
2025-06-14 23:01:55,253 - 81,252.67,913.06,3182.60,40797.00, gav op efter omkring 40 og der var mange flere, gave up after about 40 and there were many more
2025-06-14 23:01:57,991 - 102,281.91,763.70,2737.86,39240.44, er en enorm bølge af interesse for, is a huge wave of interest to
2025-06-14 23:02:04,197 - 125,130.73,826.23,6205.60,40756.15, lykke blandt forskere der er en masse lykke coating, happiness among researchers there is a lot of happiness coating
2025-06-14 23:02:06,808 - 143,263.47,786.51,2610.94,39695.37, ting alle vil gerne gøre folk, things everyone wants to do people
2025-06-14 23:02:09,359 - 161,277.47,666.43,2550.08,38563.68, lykkeligere men på trods af al denne, happier but despite all this
2025-06-14 23:02:13,084 - 181,307.16,821.31,3725.35,38198.11, strøm af arbejde er der flere kognitive fæller der gør det, power of work there are several cognitive commons who do it
2025-06-14 23:02:17,581 - 201,170.44,932.22,4496.71,38606.88, næsten umuligt at tænke klart om lykke og i, almost impossible to think clearly about happiness and in
2025-06-14 23:02:21,423 - 219,160.34,918.24,3841.43,38770.41, foredrag i dag vil hovedsageligt handle om disse kognetive, lectures today will mainly be about these cognitive
2025-06-14 23:02:23,695 - 236,184.94,839.65,2271.14,37582.38, fæller dette gælder både for, commons this applies both to
2025-06-14 23:02:27,202 - 255,332.34,749.07,3507.11,37213.29, lægfolk der tænker over deres egen lykke og for, lay people who think about their own happiness and to
2025-06-14 23:02:30,658 - 273,150.16,894.33,3455.24,37004.94, forskere der tænker over lykke for det viser, researchers who think about happiness for it shows
2025-06-14 23:02:33,901 - 291,280.12,818.99,3243.13,36587.00, sig at vi er lige så forvirret som alle andre, that we are just as confused as everyone else
2025-06-14 23:02:36,208 - 309,166.76,612.86,2307.16,35230.23, den første af disse fælder er, the first of these traps is
2025-06-14 23:02:38,674 - 328,152.22,676.08,2465.14,33823.85, en modvilje mod at indrømme kompleksitet, a reluctance to admit complexity;
2025-06-14 23:02:41,619 - 346,273.00,742.57,2944.25,33103.55, det viser sig at ordet lykke ikke, it turns out that the word happiness does not
