time,chunk_id,stt_latency_ms,tt_latency_ms,tts_latency_ms,total_latency_ms,transcription,translation
2025-06-15 20:40:50,510 - 33,463.57,1100.84,9229.59,40563.37, jeg hedder jane mcgonigal og er spildesigner jeg har, My name is Jane McGonigal and I'm a game designer
2025-06-15 20:40:57,449 - 58,278.32,1167.19,6937.42,42401.83, lavet onlinespil i ti år og mit mål for det næste årti er at, made online games for ten years and my goal for the next decade is to
2025-06-15 20:41:05,861 - 83,147.68,1224.39,8411.98,45707.87, gøre det lige så lidt at rede verden i det virkelige liv som det er at redde verden i, make it as little to save the world in real life as it is to save the world in
2025-06-15 20:41:09,952 - 108,180.19,1141.77,4090.08,44687.64, online spil jeg har en plan for dette og den indebærer at, online game I have a plan for this and it involves that
2025-06-15 20:41:14,359 - 134,140.87,897.70,4406.71,43797.25, overbevise flere mennesker herunder alle om at bruge mere tid på at spille, convincing more people including everyone to spend more time playing
2025-06-15 20:41:19,023 - 163,334.39,978.83,4663.58,42539.87, og bedre spil lige nu bruger vi milliarder timer om ugen på at, and better games right now we spend billions of hours a week on that
2025-06-15 20:41:22,451 - 188,159.73,1001.01,3427.62,40857.21, spille online spil nogen af jer tænker måske at det, Play online games any of you might think that it
2025-06-15 20:41:25,727 - 213,216.34,925.97,3274.89,39026.08, er meget tid at bruge på at spille spil måske for, is a lot of time to spend playing games maybe too
2025-06-15 20:41:29,586 - 238,180.77,893.17,3859.34,37792.18, meget tid i betragtning af hvor mange presserende problemer vi har at, much time considering how many urgent problems we have to
2025-06-15 20:41:34,962 - 267,395.56,1000.28,5375.86,37247.69, løse i den virkelige verden men ifølge min forskning ved institute of the, solve in the real world but according to my research at the institute of the
2025-06-15 20:41:37,664 - 292,235.15,825.43,2700.78,34872.71, future er det faktiske modsatte, future is the actual opposite
2025-06-15 20:41:43,131 - 317,1002.97,1002.40,5467.09,35234.88, milliarder timer om ugen er slet ikke nok spilletid til at løse verdens mest presserende, billion hours per week is not at all enough playing time to solve the world's most urgent
2025-06-15 20:41:47,245 - 342,238.62,1111.97,4113.34,34267.65, problemer faktisk tror jeg at hvis vi vil overleve det næste år, problems actually I think that if we will survive the next year
2025-06-15 20:41:52,349 - 369,311.38,1235.93,5103.40,33892.95, næste århundrede på denne planet er vi nød til at øge det samlede antal timer dramatisk, next century on this planet we need to increase the total number of hours dramatically
2025-06-15 20:41:55,691 - 395,363.46,959.97,3341.41,31938.57, jeg har beregnet at vi har brug for 21 milliarder, I have calculated that we need 21 billion
2025-06-15 20:41:59,121 - 420,213.60,890.17,3429.10,30285.25, timers spil om ugen så det der er nok en, hours of game per week so that's probably one
2025-06-15 20:42:02,552 - 445,177.38,1073.08,3430.87,28641.48, lidt kontraintuitiv idé så jeg siger det lige, a little counterintuitive idea so I'll just say it
2025-06-15 20:42:06,533 - 471,260.15,1052.26,3981.01,27348.29, igen så det kan ske ind hvis vi vil løse problemer, again so that it can happen in if we want to fix problems
2025-06-15 20:42:09,147 - 496,649.70,822.67,2613.87,24892.06, som sult fattigdom klimaforandringer globale, as hunger poverty globally
2025-06-15 20:42:12,988 - 525,330.76,840.07,3840.60,22822.42, og fedme tror jeg at vi skal stræbe efter at spille undlandspil i, and obesity I think we should strive to play evasively in
2025-06-15 20:42:18,064 - 551,895.98,1096.36,5075.45,22610.48, mindst 21 milliarder timer om ugen inden udgangen af det næste årti, at least 21 billion hours a week before the end of the next decade
2025-06-15 20:42:21,625 - 579,303.30,1002.62,3560.24,20482.83, nej jeg mener det alvorligt her er hvor for dette, no I mean it seriously here is where for this
2025-06-15 20:42:26,194 - 608,353.90,975.37,4568.69,19137.61, billede opsummerer ret godt hvorfor jeg mener at spil er så vigtige for, image sums up pretty well why I think games are so important for
2025-06-15 20:42:31,596 - 634,186.01,1279.75,5401.72,19249.28, hedens fremtidige overlevelse det er et portræt taget af fotografen ved, the heath's future survival it is a portrait taken by the photographer at
2025-06-15 20:42:35,083 - 659,218.87,1133.94,3485.82,17645.54, navn vil toledano han ønskede at fange, name will toledano he wanted to capture
2025-06-15 20:42:39,816 - 684,368.53,973.95,4732.75,17280.44, følelsen ved at spille så han satte et kamera og for spillerne men, the feeling of playing so he put a camera and for the players but
2025-06-15 20:42:43,455 - 711,348.68,971.22,3638.65,15419.46, mens de spillede og dette er en klassisk følelse ved at spille, while playing and this is a classic feeling of playing
2025-06-15 20:42:47,273 - 737,917.49,895.84,3817.73,13955.30, hvis du ikke er en spiller går du måske glip af nogen af, if you are not a player you might miss any of
2025-06-15 20:42:50,842 - 762,189.86,1049.58,3568.72,12439.52, nuancerne i dette billede du ser sandsynligvis en smugle, the nuances of this image you see probably a smuggler
2025-06-15 20:42:53,392 - 0,322.04,871.31,2549.77,10107.97, smule er følelsen af uopsættelighed, bit is the feeling of urgency
