time,chunk_id,stt_latency_ms,tt_latency_ms,tts_latency_ms,total_latency_ms,transcription,translation
2025-06-16 18:56:55,388 - 20,492.16,1068.09,9328.34,14482.32, I grew up on steady diet of science fiction., Jeg voksede op på en fast science fiction-diæt.
2025-06-16 18:57:01,596 - 41,573.02,1179.31,6207.38,16393.37, In high school I took a bus to school an hour each way every day., i high school jeg tog en bus til skole en time hver vej hver dag.
2025-06-16 18:57:05,442 - 62,550.96,1268.98,3845.94,15901.55, And I was always absorbed in a book science fiction book., og jeg var altid optaget i en bog science fiction bog.
2025-06-16 18:57:08,879 - 82,522.73,1153.80,3436.71,15227.39, Which took my mind to other worlds and set a..., som tog mit sind til andre verdener og sæt en...
2025-06-16 18:57:12,023 - 105,492.84,1102.65,3144.02,13647.00, this in a narrative form this insatiable..., dette i en fortællende form denne umættelige...
2025-06-16 18:57:15,823 - 129,511.12,1270.41,3799.64,12531.15, sense of curiosity that I had and you know that..., sans for nysgerrighed som jeg havde og du ved at...
2025-06-16 18:57:20,139 - 149,511.42,1338.17,4315.11,12708.47, curiosity also manifested itself in the fact that..., nysgerrighed manifesterede sig også i det faktum at...
2025-06-16 18:57:24,449 - 173,578.35,1306.01,4309.67,12075.03, Whenever I wasn't in school I was out in the woods hiking and taking..., når jeg ikke var i skole jeg var ude i skoven vandreture og tage...
2025-06-16 18:57:28,716 - 195,493.54,1233.45,4266.87,11846.16, samples frogs and snakes and bugs and pond water., prøver frøer og slanger og bugs og dam vand.
2025-06-16 18:57:37,050 - 215,642.16,1337.36,8332.74,16083.40, And bringing it back looking at it under the microscope I was you know I was real., og bringe det tilbage ser på det under mikroskopet jeg var du ved jeg var virkelig.
2025-06-16 18:57:40,228 - 235,6254.62,1380.25,3177.86,15169.50, But it was all about trying to understand the world., men det handlede om at forsøge at forstå verden.
2025-06-16 18:57:43,310 - 256,536.88,724.29,3082.27,13937.10, I understand the limits of possibility., jeg forstår grænserne for muligheden.
2025-06-16 18:57:48,201 - 276,536.72,1031.14,4890.22,14680.97, But you know love of science fiction actually seemed to be..., men du ved kærlighed til science fiction faktisk syntes at være...
2025-06-16 18:57:53,078 - 296,549.26,1373.34,4876.52,15443.03, mirrored in the world around me because what was happening this was in the late..., spejlet i verden omkring mig fordi hvad der skete dette var i den sene...
2025-06-16 18:57:56,333 - 316,551.56,1342.05,3254.31,14607.60, sixties we were going to the moon. We were..., 60'erne vi var på vej til månen. vi var...
2025-06-16 18:58:01,690 - 336,551.10,1431.14,5357.15,15862.52, exploring the deep oceans. Jacques Cousteau was coming in to our living..., udforske de dybe oceaner. jacques cousteau kom ind til vores levende...
2025-06-16 18:58:05,543 - 356,507.87,1362.46,3852.67,15595.68, rooms with his amazing specials that showed us animals..., værelser med hans fantastiske tilbud der viste os dyr...
2025-06-16 18:58:10,045 - 377,541.45,1198.32,4501.86,15780.26, places in a wondrous world that we could never really have previously..., steder i en vidunderlig verden som vi aldrig rigtig kunne have...
2025-06-16 18:58:18,590 - 397,549.12,1417.21,8544.15,20230.04, Imagine so that seemed to resonate with the whole science fiction part of it., forestille sig så det syntes at give genlyd med hele science fiction delen af det.
2025-06-16 18:58:22,031 - 417,476.78,1229.19,3440.76,19553.81, And I was an artist I could draw..., og jeg var en kunstner jeg kunne tegne...
2025-06-16 18:58:25,433 - 437,538.36,979.92,3400.62,18830.92, like paint and I found that because there were..., ligesom maling og jeg fandt at fordi der var...
2025-06-16 18:58:29,218 - 457,574.24,1170.64,3784.85,18497.64, You know video games and the saturation of CG movies and all of this..., du ved videospil og mætning af cg film og alt dette...
2025-06-16 18:58:33,328 - 477,554.79,1207.94,4109.37,18504.49, imagery in the media landscape. I had to create..., billeder i medielandskabet. Jeg var nødt til at oprette...
2025-06-16 18:58:37,594 - 498,632.22,1271.56,4265.70,18398.80, these images in my head. You know we all did as kids having to..., disse billeder i mit hoved. du ved vi alle gjorde som børn skal...
2025-06-16 18:58:42,944 - 518,608.46,1274.49,5349.34,19639.77, read a book and through the author's description put something on the screen., læse en bog og gennem forfatterens beskrivelse sætte noget på skærmen.
2025-06-16 18:58:46,782 - 538,539.90,1137.09,3837.54,19378.26, The movie screen in our heads. And so my response to this., filmskærmen i vores hoveder. og så mit svar på dette.
2025-06-16 18:58:52,290 - 558,555.25,1381.92,5508.02,20781.14, This was to paint to draw alien creatures alien worlds robots spaceships., dette var at male for at tegne fremmede skabninger fremmede verdener robotter rumskibe.
2025-06-16 18:58:55,881 - 578,543.76,1330.60,3591.15,20269.16, All that stuff I was endlessly getting busted in math class., alt det ting jeg var uendeligt at få knaldet i matematik klasse.
2025-06-16 18:58:58,701 - 0,592.81,1121.01,2819.20,18562.67, You know doodling behind the textbook., du ved dowling bag lærebogen.
